2000-01-01 01:05:04 install ssh-import-id:all <none> 3.21-0ubuntu1
2000-01-01 01:05:04 status half-installed ssh-import-id:all 3.21-0ubuntu1
2000-01-01 01:05:04 status unpacked ssh-import-id:all 3.21-0ubuntu1
2000-01-01 01:05:04 status unpacked ssh-import-id:all 3.21-0ubuntu1
2000-01-01 01:05:05 startup packages configure
2000-01-01 01:05:05 configure libedit2:armhf 3.1-20130712-2 <none>
2000-01-01 01:05:05 status unpacked libedit2:armhf 3.1-20130712-2
2000-01-01 01:05:05 status half-configured libedit2:armhf 3.1-20130712-2
2000-01-01 01:05:05 status installed libedit2:armhf 3.1-20130712-2
2000-01-01 01:05:06 status triggers-pending libc-bin:armhf 2.19-0ubuntu6
2000-01-01 01:05:06 configure libkrb5support0:armhf 1.12+dfsg-2ubuntu4 <none>
2000-01-01 01:05:06 status unpacked libkrb5support0:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:06 status half-configured libkrb5support0:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:06 status installed libkrb5support0:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:06 configure libk5crypto3:armhf 1.12+dfsg-2ubuntu4 <none>
2000-01-01 01:05:06 status unpacked libk5crypto3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:06 status half-configured libk5crypto3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:06 status installed libk5crypto3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:07 configure libkeyutils1:armhf 1.5.6-1 <none>
2000-01-01 01:05:07 status unpacked libkeyutils1:armhf 1.5.6-1
2000-01-01 01:05:07 status half-configured libkeyutils1:armhf 1.5.6-1
2000-01-01 01:05:07 status installed libkeyutils1:armhf 1.5.6-1
2000-01-01 01:05:07 configure libkrb5-3:armhf 1.12+dfsg-2ubuntu4 <none>
2000-01-01 01:05:07 status unpacked libkrb5-3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:07 status half-configured libkrb5-3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:07 status installed libkrb5-3:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:07 configure libgssapi-krb5-2:armhf 1.12+dfsg-2ubuntu4 <none>
2000-01-01 01:05:07 status unpacked libgssapi-krb5-2:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:07 status half-configured libgssapi-krb5-2:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:07 status installed libgssapi-krb5-2:armhf 1.12+dfsg-2ubuntu4
2000-01-01 01:05:07 configure libidn11:armhf 1.28-1ubuntu2 <none>
2000-01-01 01:05:07 status unpacked libidn11:armhf 1.28-1ubuntu2
